Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
CACD	central areolar choroidal dystrophy				8733141, 9733038		
CACFD1	calcium channel flower domain containing 1	C9orf7	D9S2135, flower		19737521	CCDS6974, CCDS48051, CCDS56591, CCDS56592	Q9UGQ2
CACHD1	cache domain containing 1	VWCD1	KIAA1573		10997877	CCDS628	Q5VU97
CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	CACNL1A4, SCA6, MHP1, MHP	Cav2.1, EA2, APCA, HPCA, FHM		8825650, 16382099, 23827678	CCDS45998, CCDS45999	O00555
CACNA1B	calcium channel, voltage-dependent, N type, alpha 1B subunit	CACNL1A5	Cav2.2, CACNN		8825650, 16382099	CCDS59522, CCDS59523	Q00975
CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	CCHL1A1, CACNL1A1	Cav1.2, CACH2, CACN2, TS, LQT8		1650913, 16382099	CCDS44787, CCDS44788, CCDS44789, CCDS44790, CCDS44791, CCDS44792, CCDS44793, CCDS44794, CCDS44795, CCDS44796, CCDS44797, CCDS44798, CCDS44799, CCDS44800, CCDS44801, CCDS53733, CCDS53734, CCDS53735, CCDS53736	Q13936
CACNA1C-AS1	CACNA1C antisense RNA 1						
CACNA1C-AS2	CACNA1C antisense RNA 2						
CACNA1C-AS3	CACNA1C antisense RNA 3						
CACNA1C-AS4	CACNA1C antisense RNA 4						
CACNA1C-IT1	CACNA1C intronic transcript 1						
CACNA1C-IT2	CACNA1C intronic transcript 2						
CACNA1C-IT3	CACNA1C intronic transcript 3						
CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	CCHL1A2, CACNL1A2	Cav1.3, CACH3, CACN4		1664412	CCDS2872, CCDS46848, CCDS46849	Q01668
CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit	CACNL1A6	Cav2.3, BII, CACH6		8388125, 16382099	CCDS53443, CCDS55664, CCDS55665	Q15878
CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	CSNB2, AIED	Cav1.4, JM8, JMC8, CSNBX2, CORDX3, CSNB2A, OA2		9344658, 9662400, 16382099, 12111638, 17525176	CCDS35253, CCDS59166, CCDS59167	O60840
CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit		Cav3.1, NBR13		9495342, 16382099	CCDS45730, CCDS45731, CCDS45732, CCDS45733, CCDS45734, CCDS45735, CCDS45736, CCDS45737, CCDS54142, CCDS54143, CCDS54144, CCDS54145, CCDS54146, CCDS58565, CCDS58566, CCDS58567, CCDS58568, CCDS58569, CCDS58570, CCDS58571, CCDS58572, CCDS58573, CCDS58574, CCDS58575, CCDS58576	O43497
CACNA1G-AS1	CACNA1G antisense RNA 1						
CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit		Cav3.2		9670923, 16382099	CCDS45375, CCDS45376	O95180
CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit		Cav3.3		10454147, 16382099	CCDS46710, CCDS46711	Q9P0X4
CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	HOKPP, MHS5, CACNL1A3	Cav1.1, hypoPP		7916735, 16382099	CCDS1407	Q13698
CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	CACNL2A, CACNA2, MHS3, LINC01112	lncRNA-N3		8188232	CCDS5598, CCDS78253	P54289
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2		KIAA0558	"gene 26"		CCDS33763, CCDS54588, CCDS63647, CCDS77748	Q9NY47
CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta subunit 3		HSA272268		11245980	CCDS54598	Q8IZS8
CACNA2D3-AS1	CACNA2D3 antisense RNA 1						
CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4				12181424	CCDS44785	Q7Z3S7
CACNB1	calcium channel, voltage-dependent, beta 1 subunit	CACNLB1			8381767, 8395940	CCDS11334, CCDS42311, CCDS45665	Q02641
CACNB2	calcium channel, voltage-dependent, beta 2 subunit	MYSB, CACNLB2			9254841, 8494331	CCDS7125, CCDS7126, CCDS7127, CCDS7128, CCDS7129, CCDS41493, CCDS41494	Q08289
CACNB3	calcium channel, voltage-dependent, beta 3 subunit	CACNLB3			8119293	CCDS8769, CCDS55821, CCDS55822, CCDS55823	P54284
CACNB4	calcium channel, voltage-dependent, beta 4 subunit		EJM4		9628818	CCDS46426, CCDS46427, CCDS46428, CCDS54409	O00305
CACNG1	calcium channel, voltage-dependent, gamma subunit 1	CACNLG			8395940	CCDS11668	Q06432
CACNG2	calcium channel, voltage-dependent, gamma subunit 2		stargazin, MGC138502, MGC138504			CCDS13931	Q9Y698
CACNG3	calcium channel, voltage-dependent, gamma subunit 3				10221464, 10493829	CCDS10620	O60359
CACNG4	calcium channel, voltage-dependent, gamma subunit 4		MGC11138, MGC24983		10613843	CCDS11667	Q9UBN1
CACNG5	calcium channel, voltage-dependent, gamma subunit 5				10613843	CCDS11665	Q9UF02
CACNG6	calcium channel, voltage-dependent, gamma subunit 6				11170751	CCDS12870, CCDS12871	Q9BXT2
CACNG7	calcium channel, voltage-dependent, gamma subunit 7				11170751	CCDS12868	P62955
CACNG8	calcium channel, voltage-dependent, gamma subunit 8				11170751	CCDS33104	Q8WXS5
CACTIN	cactin, spliceosome C complex subunit	C19orf29	NY-REN-24, fSAPc, cactin	"NY REN 24 antigen", "functional spliceosome-associated protein c", "cactin homolog (Drosophila)"	8619474, 9110174, 21429463, 20829348	CCDS45920	Q8WUQ7
CACTIN-AS1	CACTIN antisense RNA 1	C19orf29OS, C19orf29-AS1					Q8N1I8
CACUL1	CDK2-associated, cullin domain 1	C10orf46	FLJ40409, MGC33215, CAC1	"Cdk-Associated Cullin1"	19829063	CCDS41570	Q86Y37
CACYBP	calcyclin binding protein		SIP, S100A6BP		11389839, 12421809	CCDS1315, CCDS30942	Q9HB71
CACYBPP1	calcyclin binding protein pseudogene 1						
CACYBPP2	calcyclin binding protein pseudogene 2						
CACYBPP3	calcyclin binding protein pseudogene 3						
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase				8619816, 2565865	CCDS1742, CCDS77396	P27708
CADM1	cell adhesion molecule 1	TSLC1, IGSF4	NECL2, ST17, BL2, SYNCAM, IGSF4A, Necl-2, SYNCAM1, RA175	"nectin-like 2"	10610705	CCDS8373, CCDS53711, CCDS73397, CCDS73398, CCDS73399	Q9BY67
CADM2	cell adhesion molecule 2	IGSF4D	NECL3, Necl-3, SynCAM2	"nectin-like 3"		CCDS33792, CCDS54613, CCDS54614	Q8N3J6
CADM2-AS1	CADM2 antisense RNA 1						
CADM2-AS2	CADM2 antisense RNA 2						
CADM3	cell adhesion molecule 3	IGSF4B	BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1	"nectin-like 1"	11536053	CCDS1182, CCDS44251	Q8N126
CADM3-AS1	CADM3 antisense RNA 1		CTA-134P22.2				
CADM4	cell adhesion molecule 4	IGSF4C	TSLL2, Necl-4, SynCAM4	"nectin-like 4"	11536053	CCDS12627	Q8NFZ8
CADPS	Ca++-dependent secretion activator		CAPS, KIAA1121, CAPS1		1516133	CCDS2898, CCDS2899, CCDS46858	Q9ULU8
CADPS2	Ca++-dependent secretion activator 2					CCDS47691, CCDS55158	Q86UW7
CAGE1	cancer antigen 1	CTAG3	bA69L16.7, CT95	"cancer/testis antigen 95"	12531476	CCDS47367, CCDS54964, CCDS54965	Q8TC20
CAHM	colon adenocarcinoma hypermethylated (non-protein coding)		LINC00468	"long intergenic non-protein coding RNA 468"	24799664		
CALB1	calbindin 1, 28kDa	CALB				CCDS6251	P05937
CALB2	calbindin 2		CAL2	"calretinin"	1906795	CCDS10899	P22676
CALCA	calcitonin-related polypeptide alpha	CALC1		"calcitonin"	6546550	CCDS7819, CCDS31432	P01258
CALCB	calcitonin-related polypeptide beta	CALC2	FLJ30166, CGRP-II			CCDS7820	P10092
CALCOCO1	calcium binding and coiled-coil domain 1		KIAA1536, calphoglin, Cocoa	"coiled-coil leucine zipper coactivator 1", "inorganic pyrophosphatase activator"	10819331, 11230166	CCDS8864, CCDS44908	Q9P1Z2
CALCOCO2	calcium binding and coiled-coil domain 2		MGC17318, NDP52		7540613	CCDS11538, CCDS58558, CCDS58559, CCDS58560, CCDS58561	Q13137
CALCP	calcitonin pseudogene		CALC3		2898385		
CALCR	calcitonin receptor		CTR		1331173	CCDS5631, CCDS55125	P30988
CALCRL	calcitonin receptor-like		CGRPR, CRLR		7818539, 8626685	CCDS2293	Q16602
CALD1	caldesmon 1		CDM, H-CAD, L-CAD		1885618	CCDS5834, CCDS5835, CCDS5836, CCDS47716, CCDS47717, CCDS5836	Q05682
CALHM1	calcium homeostasis modulator 1	FAM26C			18585350	CCDS7550	Q8IU99
CALHM2	calcium homeostasis modulator 2	FAM26B			18585350	CCDS7549	Q9HA72
CALHM3	calcium homeostasis modulator 3	FAM26A	bA225H22.7		18585350	CCDS44476	Q86XJ0
CALM1	calmodulin 1 (phosphorylase kinase, delta)	CALML2	CAMI, PHKD, DD132	"prepro-calmodulin 1"	6385987	CCDS9892	P62158
CALM1P1	calmodulin 1 (phosphorylase kinase, delta) pseudogene 1	CALML1			7925473		
CALM1P2	calmodulin 1 (phosphorylase kinase, delta) pseudogene 2		TCAG_1643085		7925473		
CALM2	calmodulin 2 (phosphorylase kinase, delta)		PHKD, CAMII	"prepro-calmodulin 2"		CCDS1832	P62158
CALM2P1	calmodulin 2 pseudogene 1				2717417		
CALM2P2	calmodulin 2 pseudogene 2				1999288		
CALM2P3	calmodulin 2 pseudogene 3				1999288		
CALM2P4	calmodulin 2 pseudogene 4						
CALM3	calmodulin 3 (phosphorylase kinase, delta)		PHKD	"prepro-calmodulin 3"		CCDS33061	P62158
CALML3	calmodulin-like 3		CLP		8476923	CCDS7069	P27482
CALML3-AS1	CALML3 antisense RNA 1						
CALML4	calmodulin-like 4		MGC4809, NY-BR-20			CCDS10226, CCDS42052, CCDS66808	Q96GE6
CALML5	calmodulin-like 5		CLSP	"calmodulin-like skin protein"	10777582	CCDS7068	Q9NZT1
CALML6	calmodulin-like 6		CAGLP			CCDS30566	Q8TD86
CALN1	calneuron 1			"calcium-binding protein CABP8"	11286509	CCDS5541, CCDS47603	Q9BXU9
CALR	calreticulin		RO, SSA, cC1qR, CRT, FLJ26680	"Sicca syndrome antigen A (autoantigen Ro; calreticulin)", "autoantigen Ro"	2365822	CCDS12288	P27797
CALR3	calreticulin 3		CRT2, FLJ25355, MGC26577, CT93	"cancer/testis antigen 93", "calsperin"	12384296	CCDS12344	Q96L12
CALR4P	calreticulin 4, pseudogene				20210993		
CALU	calumenin				9598325	CCDS5805, CCDS47703, CCDS56506, CCDS56507, CCDS56508	O43852
CALY	calcyon neuron-specific vesicular protein	DRD1IP	CALCYON, NSG3		10698743, 17623072	CCDS7678	Q9NYX4
CAMK1	calcium/calmodulin-dependent protein kinase I		CaMKI		7641687	CCDS2582	Q14012
CAMK1D	calcium/calmodulin-dependent protein kinase ID		CKLiK		11050006	CCDS7091, CCDS7092	Q8IU85
CAMK1G	calcium/calmodulin-dependent protein kinase IG		VWS1, CLICKIII, dJ272L16.1		12637513	CCDS1486	Q96NX5
CAMK2A	calcium/calmodulin-dependent protein kinase II alpha	CAMKA	KIAA0968, CaMKIINalpha	"CaM-kinase II alpha chain", "calcium/calmodulin-dependent protein kinase II alpha-B subunit", "CaM kinase II alpha subunit", "CaMK-II alpha subunit", "calcium/calmodulin-dependent protein kinase type II alpha chain"	10231032, 3475713	CCDS43386, CCDS43387	Q9UQM7
CAMK2B	calcium/calmodulin-dependent protein kinase II beta	CAMKB	CAM2, CAMK2	"CaM-kinase II beta chain", "calcium/calmodulin-dependent protein kinase type II beta chain", "CaM kinase II beta subunit", "proline rich calmodulin-dependent protein kinase"		CCDS5483, CCDS5484, CCDS5485, CCDS5486, CCDS5487, CCDS5488, CCDS5489, CCDS43573	Q13554
CAMK2D	calcium/calmodulin-dependent protein kinase II delta	CAMKD				CCDS3703, CCDS3704, CCDS43263, CCDS47127, CCDS54797	Q13557
CAMK2G	calcium/calmodulin-dependent protein kinase II gamma	CAMKG			8287681	CCDS7336, CCDS7337, CCDS7338, CCDS73153	Q13555
CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1		CaMKIINalpha		12477932	CCDS207	Q7Z7J9
CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2		CaM-KIIN		11444830, 9724800	CCDS3257	Q96S95
CAMK4	calcium/calmodulin-dependent protein kinase IV		CaMK-GR	"brain Ca++-calmodulin-dependent protein kinase type IV", "calcium/calmodulin-dependent protein kinase type IV catalytic chain", "CAM kinase IV", "CAM kinase- GR"	2536634	CCDS4103	Q16566
CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha		DKFZp761M0423, CAMKKA, MGC34095		11230166	CCDS11038, CCDS11039	Q8N5S9
CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta		CAMKK, KIAA0787, CAMKKB, MGC15254		9662074	CCDS9216, CCDS9217, CCDS9218, CCDS9219, CCDS44999, CCDS53837, CCDS58283	Q96RR4
CAMKMT	calmodulin-lysine N-methyltransferase	C2orf34	CLNMT	"CaM KMT"	20975703	CCDS1820	Q7Z624
CAMKV	CaM kinase-like vesicle-associated		MGC8407, VACAMKL		12477932	CCDS33762	Q8NCB2
CAMLG	calcium modulating ligand		CAML, GET2	"calcium-modulating cyclophilin ligand", "calcium-signal modulating cyclophilin ligand", "cyclophilin B-binding protein"	8824814, 24392163	CCDS4178	P49069
CAMP	cathelicidin antimicrobial peptide		CAP18, FALL39, FALL-39, LL37		7624374	CCDS2762, CCDS2762	P49913
CAMSAP1	calmodulin regulated spectrin-associated protein 1		FLJ31228, DKFZp434F195		12477932	CCDS35176	Q5T5Y3
CAMSAP2	calmodulin regulated spectrin-associated protein family, member 2	CAMSAP1L1	KIAA1078		15897902, 19508979	CCDS1404, CCDS72998, CCDS72999	Q08AD1
CAMSAP3	calmodulin regulated spectrin-associated protein family, member 3	KIAA1543	Nezha, PPP1R80	"protein phosphatase 1, regulatory subunit 80"	11318610, 10819331, 19041755, 19508979	CCDS42489, CCDS45947	Q9P1Y5
CAMTA1	calmodulin binding transcription activator 1		KIAA0833		11925432	CCDS30576, CCDS55574, CCDS55575	Q9Y6Y1
CAMTA1-IT1	CAMTA1 intronic transcript 1						
CAMTA2	calmodulin binding transcription activator 2		KIAA0909		11925432	CCDS11063, CCDS54071, CCDS54072, CCDS54073	O94983
CAND1	cullin-associated and neddylation-dissociated 1		TIP120A, DKFZp434M1414, KIAA0829, TIP120	"TBP interacting protein"	10048485, 8954946	CCDS8977	Q86VP6
CAND2	cullin-associated and neddylation-dissociated 2 (putative)		TIP120B, KIAA0667, Tp120b	"TBP interacting protein"	9734811, 10441524	CCDS43053, CCDS54554	O75155
CANDN1	candidiasis, nail 1 (with ICAM1 deficiency)		FCNC, CANDF3		12205111, 12774035		
CANT1	calcium activated nucleotidase 1		SHAPY, SCAN-1	"Soluble Ca-Activated Nucleotidase, isozyme 1"	12167635	CCDS11760	Q8WVQ1
CANX	calnexin		CNX, IP90, P90	"major histocompatibility complex class I antigen-binding protein p88"	1326756, 8136357	CCDS4447	P27824
CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)		CAP		1406678, 8761950	CCDS41309	Q01518
CAP1P1	CAP1 pseudogene 1						
CAP1P2	CAP1 pseudogene 2						
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)				7962207, 8761950	CCDS4539	P40123
CAP2P1	CAP, adenylate cyclase-associated protein, 2 (yeast) pseudogene 1						
CAPG	capping protein (actin filament), gelsolin-like	AFCP	MCP	"macrophage capping protein"	1322908, 12754261	CCDS1974, CCDS58715	P40121
CAPN1	calpain 1, (mu/I) large subunit		muCANP, muCL, CANP, CANPL1		3017764, 2209092	CCDS44644	P07384
CAPN2	calpain 2, (m/II) large subunit		mCANP, CANPml, CANPL2		2852952, 2539381	CCDS31035, CCDS53478	P17655
CAPN3	calpain 3	LGMD2, LGMD2A	CANP3, p94, nCL-1		2555341, 7720071	CCDS10085, CCDS10086, CCDS32207, CCDS45245, CCDS45246	P20807
CAPN5	calpain 5	VRNI	nCL-3, HTRA3, ADNIV		9503024, 9367857, 23055945	CCDS8248	O15484
CAPN6	calpain 6		CAPNX, CalpM, CANPX		9503024, 9339374	CCDS14555	Q9Y6Q1
CAPN7	calpain 7		PalBH	"calpain like protease", "homolog of Aspergillus Nidulans PALB"	8163008, 10051333	CCDS2624	Q9Y6W3
CAPN8	calpain 8		nCL-2		7690035, 8889549	CCDS73038	A6NHC0
CAPN9	calpain 9		nCL-4, GC36	"novel calpain large subunit-4"	9524069, 10835488	CCDS1586, CCDS31053	O14815
CAPN10	calpain 10				11017071, 11018080	CCDS33420, CCDS42838	Q9HC96
CAPN10-AS1	CAPN10 antisense RNA 1 (head to head)		locus959	"locus 959"	23382218		
CAPN11	calpain 11				10409436	CCDS47436	Q9UMQ6
CAPN12	calpain 12					CCDS12519	Q6ZSI9
CAPN13	calpain 13		FLJ23523		11675017	CCDS46252	Q6MZZ7
CAPN14	calpain 14				11675017	CCDS46254	A8MX76
CAPN15	calpain 15	SOLH			9722942	CCDS10410	O75808
CAPNS1	calpain, small subunit 1	CAPN4	CANP, CANPS, 30K, CDPS		3024120, 3016651	CCDS12489	P04632
CAPNS1P1	calpain, small subunit 1 pseudogene 1						
CAPNS2	calpain, small subunit 2		MGC12536, MGC14804		11853546	CCDS54010	Q96L46
CAPRIN1	cell cycle associated protein 1	M11S1, GPIAP1	caprin-1, RNG105	"cytoplasmic activation/proliferation-associated protein-1"	7657653, 16177067, 17210633, 14764709, 15471883	CCDS31453, CCDS31454	Q14444
CAPRIN2	caprin family member 2	C1QDC1	EEG1, FLJ22569, FLJ11391, caprin-2, RNG140		11347906, 14764709	CCDS8720, CCDS41766, CCDS41766, CCDS55816	Q6IMN6
CAPS	calcyphosine		CAPS1, MGC126562	"calcyphosine 1", "thyroid protein p24"	9224948, 2265558	CCDS12156, CCDS45934	Q13938
CAPS2	calcyphosine 2				11846421	CCDS9008, CCDS66424, CCDS73497	Q9BXY5
CAPSL	calcyphosine-like		MGC26610		12477932	CCDS3912	Q8WWF8
CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1				7665558, 9119363	CCDS30805	P52907
CAPZA1P	capping protein (actin filament) muscle Z-line, alpha 1 pseudogene				11499681		
CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2		CAPZ, CAPPA2	"F-actin capping protein alpha-2 subunit"		CCDS5768	P47755
CAPZA3	capping protein (actin filament) muscle Z-line, alpha 3		Gsg3, CAPPA3		12029070	CCDS8681	Q96KX2
CAPZB	capping protein (actin filament) muscle Z-line, beta					CCDS41277, CCDS55579, CCDS72717, CCDS72718	P47756
CARD6	caspase recruitment domain family, member 6		CINCIN1		12775719	CCDS3935	Q9BX69
CARD8	caspase recruitment domain family, member 8		TUCAN, KIAA0955, CARDINAL, NDPP, Dakar		10231032, 11408476	CCDS12712, CCDS12712, CCDS54287, CCDS54288, CCDS54289	Q9Y2G2
CARD8-AS1	CARD8 antisense RNA 1		LOC100505812		25392693		
CARD9	caspase recruitment domain family, member 9				11053425	CCDS6997, CCDS48057	Q9H257
CARD10	caspase recruitment domain family, member 10		CARMA3, BIMP1		11259443, 11356195	CCDS13948	Q9BWT7
CARD11	caspase recruitment domain family, member 11		CARMA1, BIMP3	"card-maguk protein 1", "bcl10-interacting maguk protein 3"	11278692, 11356195	CCDS5336	Q9BXL7
CARD14	caspase recruitment domain family, member 14	PSORS2	CARMA2, BIMP2		11278692, 11356195, 22521418	CCDS11768, CCDS58605	Q9BXL6
CARD16	caspase recruitment domain family, member 16		COP1, COP, PSEUDO-ICE		11432859, 11536016	CCDS31661, CCDS41705	Q5EG05
CARD17	caspase recruitment domain family, member 17		INCA	"Inhibitory CARD"	15383541	CCDS31662	Q5XLA6
CARD18	caspase recruitment domain family, member 18		UNQ5804, ICEBERG, pseudo-ICE		11051551	CCDS53705	P57730
CARD19	caspase recruitment domain family, member 19	C9orf89	MGC11115, bA370F5.1, BinCARD	"Bcl10-interacting protein with CARD"	15637807	CCDS6702	Q96LW7
CARF	calcium responsive transcription factor	ALS2CR8	FLJ21579, CaRF, NYD-SP24	"calcium-response factor"	11586298, 11832226	CCDS42801, CCDS63091	Q8N187
CARHSP1	calcium regulated heat stable protein 1, 24kDa		CRHSP-24, CSDC1		9712905	CCDS10537	Q9Y2V2
CARKD	carbohydrate kinase domain containing		LP3298, FLJ10769		21994945	CCDS9513, CCDS55903	Q8IW45
CARM1	coactivator-associated arginine methyltransferase 1		PRMT4		10381882, 11724789	CCDS12250	Q86X55
CARM1P1	coactivator-associated arginine methyltransferase 1 pseudogene 1	CARM1L					
CARNMT1	carnosine N-methyltransferase 1	C9orf41	FLJ25795		26001783	CCDS6649	Q8N4J0
CARNS1	carnosine synthase 1	ATPGD1	KIAA1394		20097752	CCDS44658, CCDS53667	A5YM72
CARS	cysteinyl-tRNA synthetase		CARS1	"cysteine tRNA ligase 1, cytoplasmic"	8468064	CCDS7742, CCDS41600, CCDS41602	P49589
CARS-AS1	CARS antisense RNA 1						
CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)		FLJ12118	"cysteine tRNA ligase 2, mitochondrial (putative)"	15779907	CCDS9514	Q9HA77
CARSP1	cysteinyl-tRNA synthetase pseudogene 1						
CARSP2	cysteinyl-tRNA synthetase pseudogene 2						
CARTPT	CART prepropeptide		CART	"cocaine and amphetamine regulated transcript"	9590691, 8647455	CCDS4011	Q16568
CASC1	cancer susceptibility candidate 1		LAS1, FLJ10921, PPP1R54	"protein phosphatase 1, regulatory subunit 54"	14583591	CCDS31759, CCDS41762, CCDS41763, CCDS55810, CCDS55811	Q6TDU7
CASC2	cancer susceptibility candidate 2 (non-protein coding)	C10orf5					Q6XLA1
CASC3	cancer susceptibility candidate 3		MLN51, BTZ		7490069, 18332872	CCDS11362	O15234
CASC4	cancer susceptibility candidate 4		H63, DKFZp459F1927		10497265	CCDS10108, CCDS10109	Q6P4E1
CASC4P1	cancer susceptibility candidate 4 pseudogene 1						
CASC5	cancer susceptibility candidate 5		D40, AF15Q14, CT29, hKNL-1, KNL1, hSpc105, PPP1R55, Spc7	"cancer/testis antigen 29", "kinetochore null 1 homolog (C. elegans)", "blinkin, bub-linking kinetochore protein", "protein phosphatase 1, regulatory subunit 55"	10980622, 10780384, 18045986	CCDS42023, CCDS42024	Q8NG31
CASC6	cancer susceptibility candidate 6 (non-protein coding)						
CASC7	cancer susceptibility candidate 7 (non-protein coding)		LINC00980	"long intergenic non-protein coding RNA 980"			
CASC8	cancer susceptibility candidate 8 (non-protein coding)		LINC00860, CARLo-1	"long intergenic non-protein coding RNA 860"	24594601		
CASC9	cancer susceptibility candidate 9 (non-protein coding)		LINC00981, ESCCAL-1	"long intergenic non-protein coding RNA 981", "esophageal squamous cell carcinoma associated lncRNA-1"	25885227		
CASC10	cancer susceptibility candidate 10	C10orf114	bA418C1.3		21804547	CCDS31163	Q5T4H9
CASC11	cancer susceptibility candidate 11 (non-protein coding)		TCONS_00014535, LINC00990, CARLo-7	"long intergenic non-protein coding RNA 990"	24594601		
CASC15	cancer susceptibility candidate 15 (non-protein coding)	LINC00340			26016895, 26100672		
CASC16	cancer susceptibility candidate 16 (non-protein coding)	LINC00918	LOC643714				
